Depth,CALI,DRHO,DT,DTS,GR,NPHI,PEF,RACEHM,RACELM,RHOB,ROP,RPCELM,RT,PHIF,SAND_FLAG,SW,VSH
3388.8,8.6633,0.0591,76.6429,132.8938,42.6125,0.1948,5.384,1.2038,1.2576,2.4308,28.059,1.0328,0.8151,0.1251,1,1,0.2595
3388.9,8.6133,0.0529,76.8564,133.7106,40.8358,0.1929,5.3663,1.1043,1.2214,2.409,28.0792,1.0327,0.8729,0.1377,1,0.9386,0.2472
3389,8.6554,0.0468,76.9408,134.1296,38.5437,0.1781,5.4237,1.0641,1.1767,2.3963,28.0994,1.0645,0.9787,0.145,1,0.8553,0.2314
3389.1,8.6633,0.0417,76.9098,133.9551,36.6148,0.1658,5.5061,1.0693,1.1695,2.3963,28.1194,1.0788,1.0222,0.145,1,0.8393,0.2181
3389.2,8.613,0.0377,76.6704,132.5607,36.0741,0.1555,5.5893,1.0911,1.165,2.4072,28.0991,1.1132,1.0838,0.1389,1,0.8512,0.2144
3389.3,8.6137,0.0364,76.3347,130.9347,34.7682,0.1439,5.6935,1.1182,1.1611,2.4269,28.0788,1.1935,1.2636,0.1276,1,0.8602,0.2052
3389.4,8.6976,0.0409,75.9693,129.3144,37.1497,0.1475,5.832,1.1567,1.1704,2.4523,28.0587,1.2854,1.4477,0.1131,1,0.9047,0.2215
3389.5,8.6976,0.0504,75.6037,127.9426,42.9533,0.1576,5.9749,1.2122,1.1751,2.4747,28.0582,1.2885,1.4399,0.1002,1,1,0.2615
3389.6,8.6976,0.0585,75.2013,127.6942,49.3327,0.1671,6.0972,1.3569,1.2024,2.486,28.0577,1.2943,1.3799,0.0937,0,1,0.3055
3389.7,8.6976,0.0605,74.8071,127.8755,55.1672,0.1709,6.1921,1.3222,1.2221,2.4868,28.0573,1.3654,1.5345,0.0933,0,1,0.3459
3389.8,8.6976,0.0571,74.5067,127.992,58.153,0.1699,6.2623,1.3155,1.2366,2.4857,28.0589,1.4403,1.6704,0.0939,0,1,0.3665
3389.9,8.6976,0.0546,74.2736,127.6152,60.6932,0.1685,6.2928,1.3336,1.2552,2.4918,28.0605,1.4844,1.7852,0.0905,0,1,0.3841
3390,8.6976,0.0569,74.0962,127.143,61.4825,0.1695,6.2596,1.3529,1.2909,2.5021,28.0621,1.495,1.734,0.0845,0,1,0.3896
3390.1,8.6976,0.0612,74.0453,127.5156,59.5454,0.1719,6.1713,1.3902,1.3288,2.5062,28.0637,1.4562,1.5741,0.0821,0,1,0.3762
